Model,Arousal_Signal,Train_Study,Test_Study,Metrics,value,CV_ind,Case
rf,BR,OT,OT,AUC,0.996591,CV,C1
rf,BR,OT,SIM1,AUC,0.752491974,non_CV,C2
rf,BR,OT,SIM2,AUC,0.855922443,non_CV,C3
rf,BR,OT,TT1,AUC,0.85506451,non_CV,C4
rf,BR,SIM1,OT,AUC,0.776081268,non_CV,C5
rf,BR,SIM1,SIM1,AUC,0.998554,CV,C6
rf,BR,SIM1,SIM2,AUC,0.684435868,non_CV,C7
rf,BR,SIM1,TT1,AUC,0.95012729,non_CV,C8
rf,BR,SIM2,OT,AUC,0.865870777,non_CV,C9
rf,BR,SIM2,SIM1,AUC,0.63592511,non_CV,C10
rf,BR,SIM2,SIM2,AUC,0.998961,CV,C11
rf,BR,SIM2,TT1,AUC,0.715653905,non_CV,C12
rf,BR,TT1,OT,AUC,0.863374656,non_CV,C13
rf,BR,TT1,SIM1,AUC,0.938850965,non_CV,C14
rf,BR,TT1,SIM2,AUC,0.769346709,non_CV,C15
rf,BR,TT1,TT1,AUC,0.997128,CV,C16
rf,HR,OT,OT,AUC,0.985943,CV,C1
rf,HR,OT,SIM1,AUC,0.943117127,non_CV,C2
rf,HR,OT,SIM2,AUC,0.852199818,non_CV,C3
rf,HR,OT,TT1,AUC,0.980244698,non_CV,C4
rf,HR,SIM1,OT,AUC,0.942647822,non_CV,C5
rf,HR,SIM1,SIM1,AUC,0.989386,CV,C6
rf,HR,SIM1,SIM2,AUC,0.874394766,non_CV,C7
rf,HR,SIM1,TT1,AUC,0.981602479,non_CV,C8
rf,HR,SIM2,OT,AUC,0.88400918,non_CV,C9
rf,HR,SIM2,SIM1,AUC,0.891289589,non_CV,C10
rf,HR,SIM2,SIM2,AUC,0.983472,CV,C11
rf,HR,SIM2,TT1,AUC,0.90843304,non_CV,C12
rf,HR,TT1,OT,AUC,0.953987341,non_CV,C13
rf,HR,TT1,SIM1,AUC,0.972311822,non_CV,C14
rf,HR,TT1,SIM2,AUC,0.894870625,non_CV,C15
rf,HR,TT1,TT1,AUC,0.983191,CV,C16
rf,HR_BR,OT,OT,AUC,0.992989,CV,C1
rf,HR_BR,OT,SIM1,AUC,0.911505263,non_CV,C2
rf,HR_BR,OT,SIM2,AUC,0.900299053,non_CV,C3
rf,HR_BR,OT,TT1,AUC,0.947274633,non_CV,C4
rf,HR_BR,SIM1,OT,AUC,0.941058975,non_CV,C5
rf,HR_BR,SIM1,SIM1,AUC,0.993647,CV,C6
rf,HR_BR,SIM1,SIM2,AUC,0.833112523,non_CV,C7
rf,HR_BR,SIM1,TT1,AUC,0.97753604,non_CV,C8
rf,HR_BR,SIM2,OT,AUC,0.913746023,non_CV,C9
rf,HR_BR,SIM2,SIM1,AUC,0.801095517,non_CV,C10
rf,HR_BR,SIM2,SIM2,AUC,0.983521,CV,C11
rf,HR_BR,SIM2,TT1,AUC,0.834305933,non_CV,C12
rf,HR_BR,TT1,OT,AUC,0.967107013,non_CV,C13
rf,HR_BR,TT1,SIM1,AUC,0.970094356,non_CV,C14
rf,HR_BR,TT1,SIM2,AUC,0.87062827,non_CV,C15
rf,HR_BR,TT1,TT1,AUC,0.980506,CV,C16
rf,PP,OT,OT,AUC,0.999761,CV,C1
rf,PP,OT,SIM1,AUC,0.793355237,non_CV,C2
rf,PP,OT,SIM2,AUC,0.908178323,non_CV,C3
rf,PP,OT,TT1,AUC,0.795098503,non_CV,C4
rf,PP,SIM1,OT,AUC,0.777720905,non_CV,C5
rf,PP,SIM1,SIM1,AUC,0.997283,CV,C6
rf,PP,SIM1,SIM2,AUC,0.87704201,non_CV,C7
rf,PP,SIM1,TT1,AUC,0.929208376,non_CV,C8
rf,PP,SIM2,OT,AUC,0.922651634,non_CV,C9
rf,PP,SIM2,SIM1,AUC,0.89696065,non_CV,C10
rf,PP,SIM2,SIM2,AUC,0.991904,CV,C11
rf,PP,SIM2,TT1,AUC,0.890914248,non_CV,C12
rf,PP,TT1,OT,AUC,0.862624875,non_CV,C13
rf,PP,TT1,SIM1,AUC,0.981669039,non_CV,C14
rf,PP,TT1,SIM2,AUC,0.929184565,non_CV,C15
rf,PP,TT1,TT1,AUC,0.950614,CV,C16
rf,PP_BR,OT,OT,AUC,0.993614,CV,C1
rf,PP_BR,OT,SIM1,AUC,0.826397916,non_CV,C2
rf,PP_BR,OT,SIM2,AUC,0.946371997,non_CV,C3
rf,PP_BR,OT,TT1,AUC,0.84855507,non_CV,C4
rf,PP_BR,SIM1,OT,AUC,0.851129895,non_CV,C5
rf,PP_BR,SIM1,SIM1,AUC,0.995404,CV,C6
rf,PP_BR,SIM1,SIM2,AUC,0.842266286,non_CV,C7
