Model,Arousal_Signal,Train_Study,Test_Study,Metrics,value,CV_ind,Case
rf,BR,OT,OT,AUC,0.996591,CV,C1
rf,BR,OT,SS,AUC,0.848454214,non_CV,C2
rf,BR,OT,TT1,AUC,0.85506451,non_CV,C3
rf,BR,SS,OT,AUC,0.809069246,non_CV,C4
rf,BR,SS,SS,AUC,0.898256,CV,C5
rf,BR,SS,TT1,AUC,0.957565721,non_CV,C6
rf,BR,TT1,OT,AUC,0.863374656,non_CV,C7
rf,BR,TT1,SS,AUC,0.974752198,non_CV,C8
rf,BR,TT1,TT1,AUC,0.997128,CV,C9
rf,HR,OT,OT,AUC,0.985943,CV,C1
rf,HR,OT,SS,AUC,0.935992428,non_CV,C2
rf,HR,OT,TT1,AUC,0.980244698,non_CV,C3
rf,HR,SS,OT,AUC,0.926430866,non_CV,C4
rf,HR,SS,SS,AUC,0.950653,CV,C5
rf,HR,SS,TT1,AUC,0.976600039,non_CV,C6
rf,HR,TT1,OT,AUC,0.953987341,non_CV,C7
rf,HR,TT1,SS,AUC,0.966020409,non_CV,C8
rf,HR,TT1,TT1,AUC,0.983191,CV,C9
rf,HR_BR,OT,OT,AUC,0.992989,CV,C1
rf,HR_BR,OT,SS,AUC,0.963901024,non_CV,C2
rf,HR_BR,OT,TT1,AUC,0.947274633,non_CV,C3
rf,HR_BR,SS,OT,AUC,0.946962486,non_CV,C4
rf,HR_BR,SS,SS,AUC,0.927234,CV,C5
rf,HR_BR,SS,TT1,AUC,0.967970015,non_CV,C6
rf,HR_BR,TT1,OT,AUC,0.967107013,non_CV,C7
rf,HR_BR,TT1,SS,AUC,0.977061879,non_CV,C8
rf,HR_BR,TT1,TT1,AUC,0.980506,CV,C9
rf,PP,OT,OT,AUC,0.999761,CV,C1
rf,PP,OT,SS,AUC,0.824225235,non_CV,C2
rf,PP,OT,TT1,AUC,0.795098503,non_CV,C3
rf,PP,SS,OT,AUC,0.878224148,non_CV,C4
rf,PP,SS,SS,AUC,0.966787,CV,C5
rf,PP,SS,TT1,AUC,0.953060244,non_CV,C6
rf,PP,TT1,OT,AUC,0.862624875,non_CV,C7
rf,PP,TT1,SS,AUC,0.994402798,non_CV,C8
rf,PP,TT1,TT1,AUC,0.950614,CV,C9
rf,PP_BR,OT,OT,AUC,0.993614,CV,C1
rf,PP_BR,OT,SS,AUC,0.877994654,non_CV,C2
rf,PP_BR,OT,TT1,AUC,0.84855507,non_CV,C3
rf,PP_BR,SS,OT,AUC,0.870633891,non_CV,C4
rf,PP_BR,SS,SS,AUC,0.938439,CV,C5
rf,PP_BR,SS,TT1,AUC,0.948937341,non_CV,C6
rf,PP_BR,TT1,OT,AUC,0.889615251,non_CV,C7
rf,PP_BR,TT1,SS,AUC,0.983951659,non_CV,C8
rf,PP_BR,TT1,TT1,AUC,0.941819,CV,C9
rf,PP_HR,OT,OT,AUC,0.993369,CV,C1
rf,PP_HR,OT,SS,AUC,0.957387468,non_CV,C2
rf,PP_HR,OT,TT1,AUC,0.955677064,non_CV,C3
rf,PP_HR,SS,OT,AUC,0.953347935,non_CV,C4
rf,PP_HR,SS,SS,AUC,0.971944,CV,C5
rf,PP_HR,SS,TT1,AUC,0.966421926,non_CV,C6
