Model,Arousal_Signal,Train_Study,Test_Study,Metrics,value,CV_ind,Case
rf,BR,SSO,SSO,AUC,0.944391,CV,C1
rf,BR,SSO,TT1,AUC,0.973198088,non_CV,C2
rf,BR,TT1,SSO,AUC,0.926011255,non_CV,C3
rf,BR,TT1,TT1,AUC,0.997128,CV,C4
rf,HR,SSO,SSO,AUC,0.972492,CV,C1
rf,HR,SSO,TT1,AUC,0.981781875,non_CV,C2
rf,HR,TT1,SSO,AUC,0.975146895,non_CV,C3
rf,HR,TT1,TT1,AUC,0.983191,CV,C4
rf,HR_BR,SSO,SSO,AUC,0.960833,CV,C1
rf,HR_BR,SSO,TT1,AUC,0.977455761,non_CV,C2
rf,HR_BR,TT1,SSO,AUC,0.972209865,non_CV,C3
rf,HR_BR,TT1,TT1,AUC,0.980506,CV,C4
rf,PP,SSO,SSO,AUC,0.984855,CV,C1
rf,PP,SSO,TT1,AUC,0.947484343,non_CV,C2
rf,PP,TT1,SSO,AUC,0.928525687,non_CV,C3
rf,PP,TT1,TT1,AUC,0.950614,CV,C4
rf,PP_BR,SSO,SSO,AUC,0.952739,CV,C1
rf,PP_BR,SSO,TT1,AUC,0.952526987,non_CV,C2
rf,PP_BR,TT1,SSO,AUC,0.9458399,non_CV,C3
rf,PP_BR,TT1,TT1,AUC,0.941819,CV,C4
rf,PP_HR,SSO,SSO,AUC,0.980797,CV,C1
rf,PP_HR,SSO,TT1,AUC,0.973272918,non_CV,C2
rf,PP_HR,TT1,SSO,AUC,0.967195209,non_CV,C3
rf,PP_HR,TT1,TT1,AUC,0.934375,CV,C4
rf,PP_HR_BR,SSO,SSO,AUC,0.961608,CV,C1
rf,PP_HR_BR,SSO,TT1,AUC,0.969449679,non_CV,C2
rf,PP_HR_BR,TT1,SSO,AUC,0.932371036,non_CV,C3
rf,PP_HR_BR,TT1,TT1,AUC,0.950371,CV,C4
lstm,BR,SSO,SSO,AUC,0.979462673,CV,C1
lstm,BR,SSO,TT1,AUC,0.978752175,non_CV,C2
lstm,BR,TT1,SSO,AUC,0.933811157,non_CV,C3
lstm,BR,TT1,TT1,AUC,0.982616569,CV,C4
lstm,HR,SSO,SSO,AUC,0.895986722,CV,C1
lstm,HR,SSO,TT1,AUC,0.897057338,non_CV,C2
lstm,HR,TT1,SSO,AUC,0.830444318,non_CV,C3
lstm,HR,TT1,TT1,AUC,0.856165575,CV,C4
lstm,HR_BR,SSO,SSO,AUC,0.938966951,CV,C1
lstm,HR_BR,SSO,TT1,AUC,0.932767157,non_CV,C2
lstm,HR_BR,TT1,SSO,AUC,0.877136949,non_CV,C3
lstm,HR_BR,TT1,TT1,AUC,0.918066403,CV,C4
lstm,PP,SSO,SSO,AUC,0.9751383,CV,C1
lstm,PP,SSO,TT1,AUC,0.871492053,non_CV,C2
lstm,PP,TT1,SSO,AUC,0.805400204,non_CV,C3
lstm,PP,TT1,TT1,AUC,0.828406807,CV,C4
lstm,PP_BR,SSO,SSO,AUC,0.975216134,CV,C1
lstm,PP_BR,SSO,TT1,AUC,0.900443615,non_CV,C2
lstm,PP_BR,TT1,SSO,AUC,0.862403785,non_CV,C3
lstm,PP_BR,TT1,TT1,AUC,0.887970293,CV,C4
lstm,PP_HR,SSO,SSO,AUC,0.933254758,CV,C1
lstm,PP_HR,SSO,TT1,AUC,0.903550248,non_CV,C2
lstm,PP_HR,TT1,SSO,AUC,0.808675956,non_CV,C3
lstm,PP_HR,TT1,TT1,AUC,0.850963318,CV,C4
lstm,PP_HR_BR,SSO,SSO,AUC,0.949585308,CV,C1
lstm,PP_HR_BR,SSO,TT1,AUC,0.913155986,non_CV,C2
lstm,PP_HR_BR,TT1,SSO,AUC,0.880865456,non_CV,C3
lstm,PP_HR_BR,TT1,TT1,AUC,0.930913319,CV,C4
