Model,Arousal_Signal,Train_Study,Test_Study,Metrics,value,CV_ind,Case
rf,BR,OT,OT,AUC,0.996591,CV,C1
rf,BR,OT,SST,AUC,0.848860796,non_CV,C2
rf,BR,SST,OT,AUC,0.822406724,non_CV,C3
rf,BR,SST,SST,AUC,0.922356,CV,C4
rf,HR,OT,OT,AUC,0.985943,CV,C1
rf,HR,OT,SST,AUC,0.9395657,non_CV,C2
rf,HR,SST,OT,AUC,0.923792658,non_CV,C3
rf,HR,SST,SST,AUC,0.955812,CV,C4
rf,HR_BR,OT,OT,AUC,0.992989,CV,C1
rf,HR_BR,OT,SST,AUC,0.962326528,non_CV,C2
rf,HR_BR,SST,OT,AUC,0.946897818,non_CV,C3
rf,HR_BR,SST,SST,AUC,0.932062,CV,C4
rf,PP,OT,OT,AUC,0.999761,CV,C1
rf,PP,OT,SST,AUC,0.822073073,non_CV,C2
rf,PP,SST,OT,AUC,0.889403821,non_CV,C3
rf,PP,SST,SST,AUC,0.965141,CV,C4
rf,PP_BR,OT,OT,AUC,0.993614,CV,C1
rf,PP_BR,OT,SST,AUC,0.876143046,non_CV,C2
rf,PP_BR,SST,OT,AUC,0.876089559,non_CV,C3
rf,PP_BR,SST,SST,AUC,0.93728,CV,C4
rf,PP_HR,OT,OT,AUC,0.993369,CV,C1
rf,PP_HR,OT,SST,AUC,0.956264399,non_CV,C2
rf,PP_HR,SST,OT,AUC,0.957942267,non_CV,C3
rf,PP_HR,SST,SST,AUC,0.972613,CV,C4
rf,PP_HR_BR,OT,OT,AUC,0.988262,CV,C1
rf,PP_HR_BR,OT,SST,AUC,0.949445747,non_CV,C2
rf,PP_HR_BR,SST,OT,AUC,0.938569305,non_CV,C3
rf,PP_HR_BR,SST,SST,AUC,0.943083,CV,C4
lstm,BR,OT,OT,AUC,0.97141211,CV,C1
lstm,BR,OT,SST,AUC,0.928355456,non_CV,C2
lstm,BR,SST,OT,AUC,0.954514164,non_CV,C3
lstm,BR,SST,SST,AUC,0.982203743,CV,C4
lstm,HR,OT,OT,AUC,0.886045452,CV,C1
lstm,HR,OT,SST,AUC,0.852809164,non_CV,C2
lstm,HR,SST,OT,AUC,0.85826713,non_CV,C3
lstm,HR,SST,SST,AUC,0.883628583,CV,C4
lstm,HR_BR,OT,OT,AUC,0.933664474,CV,C1
lstm,HR_BR,OT,SST,AUC,0.918048914,non_CV,C2
lstm,HR_BR,SST,OT,AUC,0.92550346,non_CV,C3
lstm,HR_BR,SST,SST,AUC,0.933265373,CV,C4
lstm,PP,OT,OT,AUC,0.983220426,CV,C1
lstm,PP,OT,SST,AUC,0.905438853,non_CV,C2
lstm,PP,SST,OT,AUC,0.949327249,non_CV,C3
lstm,PP,SST,SST,AUC,0.927174471,CV,C4
lstm,PP_BR,OT,OT,AUC,0.975624891,CV,C1
lstm,PP_BR,OT,SST,AUC,0.926173151,non_CV,C2
lstm,PP_BR,SST,OT,AUC,0.931335151,non_CV,C3
lstm,PP_BR,SST,SST,AUC,0.946117233,CV,C4
lstm,PP_HR,OT,OT,AUC,0.944738448,CV,C1
lstm,PP_HR,OT,SST,AUC,0.890055673,non_CV,C2
lstm,PP_HR,SST,OT,AUC,0.908447802,non_CV,C3
lstm,PP_HR,SST,SST,AUC,0.907395115,CV,C4
lstm,PP_HR_BR,OT,OT,AUC,0.961666099,CV,C1
lstm,PP_HR_BR,OT,SST,AUC,0.924740377,non_CV,C2
lstm,PP_HR_BR,SST,OT,AUC,0.928184338,non_CV,C3
lstm,PP_HR_BR,SST,SST,AUC,0.933000314,CV,C4
